Player;Period;Power;Traded Power;Price;Market Price;Market Pool Algorithm
RetailCO1;1;5369.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;2;5005.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;3;4807.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;4;4711.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;5;4702.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;6;4767.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;7;5097.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;8;5629.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;9;6369.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;10;6755.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;11;6802.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;12;6854.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;13;6647.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;14;6454.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;15;6575.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;16;6540.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;17;6546.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;18;6959.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;19;7273.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;20;7340.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;21;7153.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;22;6848.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;23;6499.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;24;5863.0;2000.0;180.0;36.0;Asymmetrical Pool

Player;Period;Power;Traded Power;Price;Market Price;Market Pool Algorithm
RetailCO1;1;5369.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;2;5005.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;3;4807.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;4;4711.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;5;4702.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;6;4767.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;7;5097.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;8;5629.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;9;6369.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;10;6755.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;11;6802.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;12;6854.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;13;6647.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;14;6454.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;15;6575.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;16;6540.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;17;6546.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;18;6959.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;19;7273.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;20;7340.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;21;7153.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;22;6848.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;23;6499.0;2000.0;180.0;36.0;Asymmetrical Pool
RetailCO1;24;5863.0;2000.0;180.0;36.0;Asymmetrical Pool

Player;Period;Power;Traded Power;Price;Market Price;Market Pool Algorithm
GenCo1;1;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;2;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;3;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;4;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;5;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;6;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;7;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;8;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;9;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;10;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;11;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;12;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;13;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;14;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;15;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;16;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;17;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;18;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;19;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;20;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;21;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;22;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;23;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;24;1000.0;1000.0;36.0;36.0;Asymmetrical Pool

Player;Period;Power;Traded Power;Price;Market Price;Market Pool Algorithm
GenCo1;1;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;2;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;3;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;4;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;5;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;6;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;7;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;8;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;9;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;10;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;11;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;12;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;13;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;14;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;15;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;16;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;17;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;18;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;19;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;20;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;21;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;22;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;23;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
GenCo1;24;1000.0;1000.0;36.0;36.0;Asymmetrical Pool
